unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,DK,2011,25808321.0
PAS,PAS_CRD,TOTAL,TOT,EE,2011,1907569.0
PAS,PAS_CRD,TOTAL,TOT,EL,2011,33770739.0
PAS,PAS_CRD,TOTAL,TOT,ES,2011,165153230.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2011,818145231.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2011,730656231.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2011,819727379.0
PAS,PAS_CRD,TOTAL,TOT,FI,2011,16374398.0
PAS,PAS_CRD,TOTAL,TOT,FR,2011,126013257.0
PAS,PAS_CRD,TOTAL,TOT,HR,2011,4989236.0
PAS,PAS_CRD,TOTAL,TOT,HU,2011,8884837.0
PAS,PAS_CRD,TOTAL,TOT,IE,2011,23362889.0
PAS,PAS_CRD,TOTAL,TOT,IS,2011,2462894.0
PAS,PAS_CRD,TOTAL,TOT,IT,2011,116226667.0
PAS,PAS_CRD,TOTAL,TOT,LT,2011,2691991.0
PAS,PAS_CRD,TOTAL,TOT,LU,2011,1836780.0
PAS,PAS_CRD,TOTAL,TOT,LV,2011,5098360.0
PAS,PAS_CRD,TOTAL,TOT,ME,2011,
PAS,PAS_CRD,TOTAL,TOT,MK,2011,
PAS,PAS_CRD,TOTAL,TOT,MT,2011,3506814.0
PAS,PAS_CRD,TOTAL,TOT,NL,2011,53895292.0
PAS,PAS_CRD,TOTAL,TOT,NO,2011,32403522.0
PAS,PAS_CRD,TOTAL,TOT,PL,2011,20635672.0
PAS,PAS_CRD,TOTAL,TOT,PT,2011,27579707.0
PAS,PAS_CRD,TOTAL,TOT,RO,2011,9687456.0
PAS,PAS_CRD,TOTAL,TOT,RS,2011,
PAS,PAS_CRD,TOTAL,TOT,SE,2011,29732247.0
PAS,PAS_CRD,TOTAL,TOT,SI,2011,1358792.0
PAS,PAS_CRD,TOTAL,TOT,SK,2011,1808187.0
PAS,PAS_CRD,TOTAL,TOT,UK,2011,201536753.0
PAS,PAS_CRD,TOTAL,TOT,AT,2012,25965977.0
PAS,PAS_CRD,TOTAL,TOT,BE,2012,25919515.0
PAS,PAS_CRD,TOTAL,TOT,BG,2012,6819103.0
PAS,PAS_CRD,TOTAL,TOT,CH,2012,43236086.0
PAS,PAS_CRD,TOTAL,TOT,CY,2012,7328300.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2012,11742352.0
PAS,PAS_CRD,TOTAL,TOT,DE,2012,178591103.0
PAS,PAS_CRD,TOTAL,TOT,DK,2012,26532730.0
PAS,PAS_CRD,TOTAL,TOT,EE,2012,2202427.0
PAS,PAS_CRD,TOTAL,TOT,EL,2012,32082336.0
PAS,PAS_CRD,TOTAL,TOT,ES,2012,159771261.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2012,823049838.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2012,734860381.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2012,824759178.0
PAS,PAS_CRD,TOTAL,TOT,FI,2012,16458815.0
PAS,PAS_CRD,TOTAL,TOT,FR,2012,129764462.0
PAS,PAS_CRD,TOTAL,TOT,HR,2012,5422632.0
PAS,PAS_CRD,TOTAL,TOT,HU,2012,8429843.0
PAS,PAS_CRD,TOTAL,TOT,IE,2012,23594089.0
PAS,PAS_CRD,TOTAL,TOT,IS,2012,2740691.0
PAS,PAS_CRD,TOTAL,TOT,IT,2012,116029388.0
PAS,PAS_CRD,TOTAL,TOT,LT,2012,3166628.0
PAS,PAS_CRD,TOTAL,TOT,LU,2012,1893991.0
PAS,PAS_CRD,TOTAL,TOT,LV,2012,4754530.0
PAS,PAS_CRD,TOTAL,TOT,ME,2012,
PAS,PAS_CRD,TOTAL,TOT,MK,2012,
PAS,PAS_CRD,TOTAL,TOT,MT,2012,3650347.0
PAS,PAS_CRD,TOTAL,TOT,NL,2012,55680209.0
PAS,PAS_CRD,TOTAL,TOT,NO,2012,34592225.0
PAS,PAS_CRD,TOTAL,TOT,PL,2012,21800765.0
PAS,PAS_CRD,TOTAL,TOT,PT,2012,28186254.0
PAS,PAS_CRD,TOTAL,TOT,RO,2012,9674226.0
PAS,PAS_CRD,TOTAL,TOT,RS,2012,
PAS,PAS_CRD,TOTAL,TOT,SE,2012,30350849.0
PAS,PAS_CRD,TOTAL,TOT,SI,2012,1167877.0
PAS,PAS_CRD,TOTAL,TOT,SK,2012,1563197.0
PAS,PAS_CRD,TOTAL,TOT,UK,2012,203067015.0
PAS,PAS_CRD,TOTAL,TOT,AT,2013,25749724.0
PAS,PAS_CRD,TOTAL,TOT,BE,2013,26389927.0
PAS,PAS_CRD,TOTAL,TOT,BG,2013,7079292.0
PAS,PAS_CRD,TOTAL,TOT,CH,2013,44217568.0
PAS,PAS_CRD,TOTAL,TOT,CY,2013,7011437.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2013,11891812.0
PAS,PAS_CRD,TOTAL,TOT,DE,2013,180783188.0
PAS,PAS_CRD,TOTAL,TOT,DK,2013,27459623.0
PAS,PAS_CRD,TOTAL,TOT,EE,2013,1958565.0
PAS,PAS_CRD,TOTAL,TOT,EL,2013,34023934.0
PAS,PAS_CRD,TOTAL,TOT,ES,2013,157731973.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2013,837254556.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2013,746100398.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2013,838920866.0
PAS,PAS_CRD,TOTAL,TOT,FI,2013,16565391.0
PAS,PAS_CRD,TOTAL,TOT,FR,2013,132762875.0
PAS,PAS_CRD,TOTAL,TOT,HR,2013,5722447.0
